Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live)
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[1335.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5187ms
[1350.0s] tables=12 occupied=2 empty=10 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=5456ms
[1365.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5834ms
[1380.0s] tables=12 occupied=2 empty=10 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5540ms
[1395.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5285ms
[1410.0s] tables=12 occupied=2 empty=10 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=5516ms
[1425.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5432ms
[1440.0s] tables=12 occupied=2 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5428ms
[1455.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5378ms
[1470.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=5477ms
[1485.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=4806ms
[1500.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/1 inference=4886ms
[1515.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=4827ms
[1530.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/1 inference=4961ms
[1545.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5004ms
[1560.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/1 inference=5010ms
