Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live; ffmpeg converts 5 frames every 150 (5s))
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[2563.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3446ms
[2578.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3424ms
[2593.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3427ms
[2608.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3433ms
[2623.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3447ms
[2639.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3400ms
[2653.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3458ms
[2668.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3434ms
[2684.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3443ms
[2699.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3428ms
[2714.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3446ms
[2729.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3425ms
[2744.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3420ms
[2759.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3400ms
[2774.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3446ms
[2789.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3411ms
[2804.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3466ms
[2819.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3435ms
[2834.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3464ms
[2849.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3401ms
[2864.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3410ms
[2879.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3436ms
[2894.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3441ms
[2909.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3413ms
[2924.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3457ms
[2939.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3429ms
[2954.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3446ms
