ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T06:22:52,0.90,2010,1787,0,0.73,0.22,1278,0.43,283,0.02,49,0.06,48,28,2700
2026-09-06T06:23:02,0.76,2045,1752,0,0.94,0.37,1273,0.42,283,0.02,49,0.05,49,28,800
2026-09-06T06:23:12,0.80,2031,1766,0,1.08,0.57,1278,0.42,283,0.02,49,0.05,47,28,800
2026-09-06T06:23:22,0.84,2005,1792,0,0.73,0.23,1278,0.43,283,0.02,49,0.05,46,28,2652
2026-09-06T06:23:32,0.86,1991,1806,0,0.86,0.36,1273,0.42,283,0.02,49,0.05,48,28,1293
2026-09-06T06:23:42,0.80,2044,1753,0,1.08,0.58,1278,0.42,283,0.02,49,0.05,48,28,800
2026-09-06T06:23:52,1.15,2029,1768,0,0.73,0.23,1278,0.42,283,0.02,49,0.05,47,28,2700
2026-09-06T06:24:02,1.28,2021,1776,0,0.91,0.36,1273,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T06:24:12,1.37,2015,1782,0,1.07,0.57,1278,0.42,283,0.01,49,0.05,46,28,800
2026-09-06T06:24:22,1.40,2002,1795,0,0.76,0.24,1278,0.43,283,0.02,49,0.06,46,28,2600
2026-09-06T06:24:32,1.26,2014,1783,0,0.86,0.35,1263,0.42,283,0.02,49,0.06,46,28,1200
2026-09-06T06:24:42,1.29,2023,1774,0,1.07,0.58,1267,0.42,283,0.01,49,0.05,47,28,2329
2026-09-06T06:24:52,1.56,2010,1787,0,0.74,0.24,1272,0.42,283,0.02,49,0.06,47,28,2600
2026-09-06T06:25:02,1.39,2006,1791,0,0.92,0.35,1263,0.42,283,0.02,49,0.05,48,28,1210
2026-09-06T06:25:12,1.40,2008,1789,0,1.07,0.57,1267,0.41,283,0.02,49,0.05,46,28,800
2026-09-06T06:25:22,1.50,2005,1792,0,0.77,0.25,1283,0.44,283,0.02,49,0.06,48,28,2600
2026-09-06T06:25:32,1.34,2000,1797,0,0.84,0.35,1273,0.42,283,0.02,49,0.05,48,28,1102
2026-09-06T06:25:42,1.44,1984,1813,0,1.06,0.57,1238,0.42,283,0.02,49,0.04,48,28,838
2026-09-06T06:25:52,1.45,2007,1790,0,0.78,0.26,1272,0.44,283,0.02,49,0.06,48,28,2600
2026-09-06T06:26:02,1.38,2040,1757,0,0.91,0.34,1273,0.42,283,0.02,49,0.05,48,28,1338
2026-09-06T06:26:12,1.47,2027,1770,0,1.08,0.57,1278,0.43,283,0.02,49,0.05,47,28,1400
2026-09-06T06:26:22,1.56,2004,1793,0,0.76,0.25,1283,0.43,283,0.02,49,0.06,47,28,2600
2026-09-06T06:26:32,1.32,1992,1805,0,0.84,0.33,1263,0.43,283,0.02,49,0.05,46,28,1423
2026-09-06T06:26:42,1.41,1998,1799,0,1.09,0.57,1267,0.43,283,0.01,49,0.05,47,28,900
2026-09-06T06:26:52,1.52,2026,1771,0,0.78,0.26,1272,0.44,283,0.02,49,0.05,47,28,2700
2026-09-06T06:27:02,1.28,2012,1785,0,0.90,0.33,1263,0.42,283,0.02,49,0.05,48,28,1214
2026-09-06T06:27:12,1.23,1976,1821,0,1.08,0.57,1225,0.42,283,0.01,49,0.05,46,28,2600
2026-09-06T06:27:22,1.28,1993,1804,0,0.78,0.27,1272,0.44,283,0.02,49,0.05,48,28,2700
2026-09-06T06:27:32,1.08,2005,1792,0,0.83,0.32,1273,0.44,283,0.02,49,0.05,47,28,800
